0,1,28678,23,349
0,1,28699,8,349
0,1,28716,8,349
0,1,28724,33,349
0,1,28744,16,349
0,1,28749,10,349
0,1,28750,12,349
0,1,28753,36,349
0,1,28790,40,349
0,1,28807,1,349
0,1,28808,33,349
0,1,28817,6,349
0,1,28838,33,349
0,1,28883,22,349
0,1,28905,13,349
0,1,28937,26,349
0,1,28938,25,349
0,1,28993,10,349
0,1,29018,16,349
0,1,29045,32,349
0,1,29048,34,349
0,1,29082,7,349
0,1,29087,6,349
0,1,29091,27,349
0,1,29123,31,349
0,1,29133,33,349
0,1,29142,25,349
0,1,29147,23,349
0,1,29171,29,349
0,1,29173,4,349
0,1,29175,15,349
0,1,29193,37,349
0,1,29233,20,349
0,1,29277,40,349
0,1,29307,2,349
0,1,29334,23,349
0,1,29394,25,349
0,1,29395,11,349
0,1,29399,4,349
0,1,29407,24,349
0,1,29468,39,349
0,1,29479,24,349
0,1,29489,34,349
0,1,29492,21,349
0,1,29510,32,349
0,1,29516,29,349
0,1,29530,18,349
0,1,29582,17,349
0,1,29596,16,349
0,1,29598,19,349
0,1,29636,16,349
0,1,29657,15,349
0,1,29666,9,349
0,1,29688,21,349
0,1,29733,33,349
0,1,29740,23,349
0,1,29747,25,349
0,1,29749,6,349
0,1,29754,21,349
0,1,29759,27,349
0,1,29807,10,349
0,1,29810,21,349
0,1,29828,33,349
0,1,29831,10,349
0,1,29835,37,349
0,1,29858,2,349
0,1,29867,22,349
0,1,29890,31,349
0,1,29905,22,349
0,1,29942,38,349
0,1,29959,21,349
0,1,29967,13,349
0,1,29971,7,349
0,1,29990,23,349
0,1,30002,40,349
0,1,30013,29,349
0,1,30020,31,349
0,1,30023,36,349
0,1,30027,14,349
0,1,30043,4,349
0,1,30044,35,349
0,1,30051,15,349
0,1,30060,28,349
0,1,30076,20,349
0,1,30078,37,349
0,1,30095,9,349
0,1,30098,25,349
0,1,30119,38,349
0,1,30125,16,349
0,1,30139,32,349
0,1,30150,32,349
0,1,30178,12,349
0,1,30191,7,349
0,1,30193,21,349
0,1,30205,36,349
0,1,30214,1,349
0,1,30227,20,349
0,1,30236,39,349
0,1,30255,37,349
0,1,30310,11,349
0,1,30389,19,349
0,1,30406,8,349
0,1,30408,5,349
